pill-label,course-button href,course-button,course-button (2)
ENGL30553,https://undergraduate.catalog.tcu.edu/courses/0016231,19th Century American Novel,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Development of the American novel from its or..."
ENGL40433,https://undergraduate.catalog.tcu.edu/courses/0016681,19th Century British Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of literature published be..."
ENGL30573,https://undergraduate.catalog.tcu.edu/courses/0016251,African American Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one additional 10000- or 20000-level ENGL/WRIT/CRWT course. An analysis of the fiction, poetry..."
ENGL55443,https://undergraduate.catalog.tcu.edu/courses/0016252,African American Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one additional 10000- or 20000-level ENGL/WRIT/CRWT course. An analysis of the fiction, poetry..."
ENGL30563,https://undergraduate.catalog.tcu.edu/courses/0016241,American Drama,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Representative plays by the major playwrights..."
ENGL30593,https://undergraduate.catalog.tcu.edu/courses/0073261,"American Fiction, 1960 to the Present","Prerequisites: ENGL 10803 , ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study in the development of American fict..."
ENGL55823,https://undergraduate.catalog.tcu.edu/courses/0073262,"American Fiction, 1960 to the Present","Prerequisites: ENGL 10803 , ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study in the development of American fict..."
ENGL55793,https://undergraduate.catalog.tcu.edu/courses/0087552,American Literature in a Global Context,"This course engages in comparative, cross-cultural study of American literature in a global context. Affirming the field's increasing commitment t..."
ENGL55813,https://undergraduate.catalog.tcu.edu/courses/0015982,American Literature since 1865,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. The second of two period surveys in American ..."
ENGL30143,https://undergraduate.catalog.tcu.edu/courses/0015981,American Literature since 1865,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. The second of two period surveys in American ..."
ENGL30133,https://undergraduate.catalog.tcu.edu/courses/0015971,American Literature to 1865,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. The first of two period surveys in American L..."
ENGL55423,https://undergraduate.catalog.tcu.edu/courses/0015972,American Literature to 1865,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. The first of two period surveys in American L..."
ENGL55783,https://undergraduate.catalog.tcu.edu/courses/0017662,American Non-Fiction Prose,Major documents of non-fiction prose in American literature. Student cannot receive credit for ENGL 55783 and ENGL 70573.
ENGL55553,https://undergraduate.catalog.tcu.edu/courses/0017592,American Novel I,"The American novel from its beginnings to 1890. Topics examined include the Gothic and sentimental novelists (Brown, Rowson), the early national n..."
ENGL30513,https://undergraduate.catalog.tcu.edu/courses/0016191,American Poetry,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Survey emphasizing major poets from Colonial ..."
ENGL20503,https://undergraduate.catalog.tcu.edu/courses/0015641,American Writers,Studies of texts by American writers from the beginnings of American literature to the present. Texts vary by semester.
ENGL10303,https://undergraduate.catalog.tcu.edu/courses/0083361,Approaches to Film,"A study of aesthetic and ideological differences between literary source texts and the films, scripts, television series, video games, and other me..."
ENGL55523,https://undergraduate.catalog.tcu.edu/courses/0090702,Archival Scholarship,Prerequisite: Admission to a TCU graduate program. Study of theories and promising practices for doing effective archival research; critical readi...
ENGL30853,https://undergraduate.catalog.tcu.edu/courses/0094651,Asian American Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An introduction to Asian American literary cu..."
ENGL30843,https://undergraduate.catalog.tcu.edu/courses/0094641,Australian Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This course examines a wide variety of Austra..."
ENGL30843,https://undergraduate.catalog.tcu.edu/courses/0094641,Australian Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This course examines a wide variety of Austra..."
ENGL55193,https://undergraduate.catalog.tcu.edu/courses/0087562,Authorship in American Literary Culture,"This course examines both shifting conceptions of authorship (e.g., writer versus author) and issues associated with authorial practices in America..."
ENGL30543,https://undergraduate.catalog.tcu.edu/courses/0102631,Black Women's Writing,"Prerequisites: ENGL 10803, 20803, and at least one additional 10000- or 20000-level ENGL/WRIT/CRWT course. This course will survey the work of Bl..."
ENGL40693,https://undergraduate.catalog.tcu.edu/courses/0016931,British and Irish Poetry Since 1900,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of contemporary British an..."
ENGL30123,https://undergraduate.catalog.tcu.edu/courses/0015961,British Literature since 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Two period surveys, the first of medieval and..."
ENGL55273,https://undergraduate.catalog.tcu.edu/courses/0098111,British Literature since 1800,"Prerequisites: ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Two period surveys, the first of medieval and ear..."
ENGL40443,https://undergraduate.catalog.tcu.edu/courses/0016691,British Literature Since 1900,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of British literature from..."
ENGL30113,https://undergraduate.catalog.tcu.edu/courses/0015951,British Literature to 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. An introductory investigation into the peculiar ae..."
ENGL55113,https://undergraduate.catalog.tcu.edu/courses/0097281,British Literature to 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least 10000- or 20000-level ENGL/WRIT/CRWT course. An introductory investigation into the peculiar ..."
ENGL55283,https://undergraduate.catalog.tcu.edu/courses/0098121,British Literature: The Bloomsbury Group,"Prerequisites: ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A close scrutiny of early 20th century British lit..."
ENGL30463,https://undergraduate.catalog.tcu.edu/courses/0016161,British Literature: The Bloomsbury Group,"Prerequisites: ENGL 10803, ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A close scrutiny of early 20th century Britis..."
ENGL40463,https://undergraduate.catalog.tcu.edu/courses/0016711,British Novel since 1832,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. A survey of the novel from the mid-19th century to..."
ENGL40453,https://undergraduate.catalog.tcu.edu/courses/0016701,British Novel to 1832,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. A survey of the novel through the early 19th century."
ENGL40643,https://undergraduate.catalog.tcu.edu/courses/0081561,British Romanticism,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This class will survey British literature fro..."
ENGL20403,https://undergraduate.catalog.tcu.edu/courses/0015601,British Writers,Studies of texts by British writers from the beginnings of English literature to the present. Texts vary by semester.
ENGL55103,https://undergraduate.catalog.tcu.edu/courses/0016652,Chaucer,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, ..."
ENGL40403,https://undergraduate.catalog.tcu.edu/courses/0016651,Chaucer,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, ..."
ENGL55733,https://undergraduate.catalog.tcu.edu/courses/0016972,Children's Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study of the history and criticism of child..."
ENGL40733,https://undergraduate.catalog.tcu.edu/courses/0016971,Children's Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study of the history and criticism of child..."
ENGL50253,https://undergraduate.catalog.tcu.edu/courses/0078231,Classical Rhetoric,"Prerequisite: Junior or senior standing, permission of instructor. This course examines the emergence of rhetoric in Antiquity and traces the impa..."
ENGL30843,https://undergraduate.catalog.tcu.edu/courses/0094641,Australian Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This course examines a wide variety of Austra..."
ENGL55193,https://undergraduate.catalog.tcu.edu/courses/0087562,Authorship in American Literary Culture,"This course examines both shifting conceptions of authorship (e.g., writer versus author) and issues associated with authorial practices in America..."
ENGL30543,https://undergraduate.catalog.tcu.edu/courses/0102631,Black Women's Writing,"Prerequisites: ENGL 10803, 20803, and at least one additional 10000- or 20000-level ENGL/WRIT/CRWT course. This course will survey the work of Bl..."
ENGL40693,https://undergraduate.catalog.tcu.edu/courses/0016931,British and Irish Poetry Since 1900,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of contemporary British an..."
ENGL30123,https://undergraduate.catalog.tcu.edu/courses/0015961,British Literature since 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Two period surveys, the first of medieval and..."
ENGL55273,https://undergraduate.catalog.tcu.edu/courses/0098111,British Literature since 1800,"Prerequisites: ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Two period surveys, the first of medieval and ear..."
ENGL40443,https://undergraduate.catalog.tcu.edu/courses/0016691,British Literature Since 1900,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of British literature from..."
ENGL30113,https://undergraduate.catalog.tcu.edu/courses/0015951,British Literature to 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. An introductory investigation into the peculiar ae..."
ENGL55113,https://undergraduate.catalog.tcu.edu/courses/0097281,British Literature to 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least 10000- or 20000-level ENGL/WRIT/CRWT course. An introductory investigation into the peculiar ..."
ENGL55283,https://undergraduate.catalog.tcu.edu/courses/0098121,British Literature: The Bloomsbury Group,"Prerequisites: ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A close scrutiny of early 20th century British lit..."
ENGL30463,https://undergraduate.catalog.tcu.edu/courses/0016161,British Literature: The Bloomsbury Group,"Prerequisites: ENGL 10803, ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A close scrutiny of early 20th century Britis..."
ENGL40463,https://undergraduate.catalog.tcu.edu/courses/0016711,British Novel since 1832,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. A survey of the novel from the mid-19th century to..."
ENGL40453,https://undergraduate.catalog.tcu.edu/courses/0016701,British Novel to 1832,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. A survey of the novel through the early 19th century."
ENGL40643,https://undergraduate.catalog.tcu.edu/courses/0081561,British Romanticism,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This class will survey British literature fro..."
ENGL20403,https://undergraduate.catalog.tcu.edu/courses/0015601,British Writers,Studies of texts by British writers from the beginnings of English literature to the present. Texts vary by semester.
ENGL55103,https://undergraduate.catalog.tcu.edu/courses/0016652,Chaucer,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, ..."
ENGL40403,https://undergraduate.catalog.tcu.edu/courses/0016651,Chaucer,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, ..."
ENGL55733,https://undergraduate.catalog.tcu.edu/courses/0016972,Children's Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study of the history and criticism of child..."
ENGL40733,https://undergraduate.catalog.tcu.edu/courses/0016971,Children's Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study of the history and criticism of child..."
ENGL50253,https://undergraduate.catalog.tcu.edu/courses/0078231,Classical Rhetoric,"Prerequisite: Junior or senior standing, permission of instructor. This course examines the emergence of rhetoric in Antiquity and traces the impa..."
ENGL30843,https://undergraduate.catalog.tcu.edu/courses/0094641,Australian Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This course examines a wide variety of Austra..."
ENGL55193,https://undergraduate.catalog.tcu.edu/courses/0087562,Authorship in American Literary Culture,"This course examines both shifting conceptions of authorship (e.g., writer versus author) and issues associated with authorial practices in America..."
ENGL30543,https://undergraduate.catalog.tcu.edu/courses/0102631,Black Women's Writing,"Prerequisites: ENGL 10803, 20803, and at least one additional 10000- or 20000-level ENGL/WRIT/CRWT course. This course will survey the work of Bl..."
ENGL40693,https://undergraduate.catalog.tcu.edu/courses/0016931,British and Irish Poetry Since 1900,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of contemporary British an..."
ENGL30123,https://undergraduate.catalog.tcu.edu/courses/0015961,British Literature since 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Two period surveys, the first of medieval and..."
ENGL55273,https://undergraduate.catalog.tcu.edu/courses/0098111,British Literature since 1800,"Prerequisites: ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Two period surveys, the first of medieval and ear..."
ENGL40443,https://undergraduate.catalog.tcu.edu/courses/0016691,British Literature Since 1900,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of British literature from..."
ENGL30113,https://undergraduate.catalog.tcu.edu/courses/0015951,British Literature to 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. An introductory investigation into the peculiar ae..."
ENGL55113,https://undergraduate.catalog.tcu.edu/courses/0097281,British Literature to 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least 10000- or 20000-level ENGL/WRIT/CRWT course. An introductory investigation into the peculiar ..."
ENGL55283,https://undergraduate.catalog.tcu.edu/courses/0098121,British Literature: The Bloomsbury Group,"Prerequisites: ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A close scrutiny of early 20th century British lit..."
ENGL30463,https://undergraduate.catalog.tcu.edu/courses/0016161,British Literature: The Bloomsbury Group,"Prerequisites: ENGL 10803, ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A close scrutiny of early 20th century Britis..."
ENGL40463,https://undergraduate.catalog.tcu.edu/courses/0016711,British Novel since 1832,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. A survey of the novel from the mid-19th century to..."
ENGL40453,https://undergraduate.catalog.tcu.edu/courses/0016701,British Novel to 1832,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. A survey of the novel through the early 19th century."
ENGL40643,https://undergraduate.catalog.tcu.edu/courses/0081561,British Romanticism,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This class will survey British literature fro..."
ENGL20403,https://undergraduate.catalog.tcu.edu/courses/0015601,British Writers,Studies of texts by British writers from the beginnings of English literature to the present. Texts vary by semester.
ENGL55103,https://undergraduate.catalog.tcu.edu/courses/0016652,Chaucer,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, ..."
ENGL40403,https://undergraduate.catalog.tcu.edu/courses/0016651,Chaucer,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, ..."
ENGL55733,https://undergraduate.catalog.tcu.edu/courses/0016972,Children's Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study of the history and criticism of child..."
ENGL40733,https://undergraduate.catalog.tcu.edu/courses/0016971,Children's Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study of the history and criticism of child..."
ENGL50253,https://undergraduate.catalog.tcu.edu/courses/0078231,Classical Rhetoric,"Prerequisite: Junior or senior standing, permission of instructor. This course examines the emergence of rhetoric in Antiquity and traces the impa..."
ENGL30843,https://undergraduate.catalog.tcu.edu/courses/0094641,Australian Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This course examines a wide variety of Austra..."
ENGL55193,https://undergraduate.catalog.tcu.edu/courses/0087562,Authorship in American Literary Culture,"This course examines both shifting conceptions of authorship (e.g., writer versus author) and issues associated with authorial practices in America..."
ENGL30543,https://undergraduate.catalog.tcu.edu/courses/0102631,Black Women's Writing,"Prerequisites: ENGL 10803, 20803, and at least one additional 10000- or 20000-level ENGL/WRIT/CRWT course. This course will survey the work of Bl..."
ENGL40693,https://undergraduate.catalog.tcu.edu/courses/0016931,British and Irish Poetry Since 1900,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of contemporary British an..."
ENGL30123,https://undergraduate.catalog.tcu.edu/courses/0015961,British Literature since 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Two period surveys, the first of medieval and..."
ENGL55273,https://undergraduate.catalog.tcu.edu/courses/0098111,British Literature since 1800,"Prerequisites: ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Two period surveys, the first of medieval and ear..."
ENGL40443,https://undergraduate.catalog.tcu.edu/courses/0016691,British Literature Since 1900,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of British literature from..."
ENGL30113,https://undergraduate.catalog.tcu.edu/courses/0015951,British Literature to 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. An introductory investigation into the peculiar ae..."
ENGL55113,https://undergraduate.catalog.tcu.edu/courses/0097281,British Literature to 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least 10000- or 20000-level ENGL/WRIT/CRWT course. An introductory investigation into the peculiar ..."
ENGL55283,https://undergraduate.catalog.tcu.edu/courses/0098121,British Literature: The Bloomsbury Group,"Prerequisites: ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A close scrutiny of early 20th century British lit..."
ENGL30463,https://undergraduate.catalog.tcu.edu/courses/0016161,British Literature: The Bloomsbury Group,"Prerequisites: ENGL 10803, ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A close scrutiny of early 20th century Britis..."
ENGL40463,https://undergraduate.catalog.tcu.edu/courses/0016711,British Novel since 1832,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. A survey of the novel from the mid-19th century to..."
ENGL40453,https://undergraduate.catalog.tcu.edu/courses/0016701,British Novel to 1832,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. A survey of the novel through the early 19th century."
ENGL40643,https://undergraduate.catalog.tcu.edu/courses/0081561,British Romanticism,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This class will survey British literature fro..."
ENGL20403,https://undergraduate.catalog.tcu.edu/courses/0015601,British Writers,Studies of texts by British writers from the beginnings of English literature to the present. Texts vary by semester.
ENGL55103,https://undergraduate.catalog.tcu.edu/courses/0016652,Chaucer,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, ..."
ENGL40403,https://undergraduate.catalog.tcu.edu/courses/0016651,Chaucer,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, ..."
ENGL55733,https://undergraduate.catalog.tcu.edu/courses/0016972,Children's Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study of the history and criticism of child..."
ENGL40733,https://undergraduate.catalog.tcu.edu/courses/0016971,Children's Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study of the history and criticism of child..."
ENGL50253,https://undergraduate.catalog.tcu.edu/courses/0078231,Classical Rhetoric,"Prerequisite: Junior or senior standing, permission of instructor. This course examines the emergence of rhetoric in Antiquity and traces the impa..."
ENGL30843,https://undergraduate.catalog.tcu.edu/courses/0094641,Australian Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This course examines a wide variety of Austra..."
ENGL55193,https://undergraduate.catalog.tcu.edu/courses/0087562,Authorship in American Literary Culture,"This course examines both shifting conceptions of authorship (e.g., writer versus author) and issues associated with authorial practices in America..."
ENGL30543,https://undergraduate.catalog.tcu.edu/courses/0102631,Black Women's Writing,"Prerequisites: ENGL 10803, 20803, and at least one additional 10000- or 20000-level ENGL/WRIT/CRWT course. This course will survey the work of Bl..."
ENGL40693,https://undergraduate.catalog.tcu.edu/courses/0016931,British and Irish Poetry Since 1900,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of contemporary British an..."
ENGL30123,https://undergraduate.catalog.tcu.edu/courses/0015961,British Literature since 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Two period surveys, the first of medieval and..."
ENGL55273,https://undergraduate.catalog.tcu.edu/courses/0098111,British Literature since 1800,"Prerequisites: ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Two period surveys, the first of medieval and ear..."
ENGL40443,https://undergraduate.catalog.tcu.edu/courses/0016691,British Literature Since 1900,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of British literature from..."
ENGL30113,https://undergraduate.catalog.tcu.edu/courses/0015951,British Literature to 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. An introductory investigation into the peculiar ae..."
ENGL55113,https://undergraduate.catalog.tcu.edu/courses/0097281,British Literature to 1800,"Prerequisites: ENGL 10803, ENGL 20803, and at least 10000- or 20000-level ENGL/WRIT/CRWT course. An introductory investigation into the peculiar ..."
ENGL55283,https://undergraduate.catalog.tcu.edu/courses/0098121,British Literature: The Bloomsbury Group,"Prerequisites: ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A close scrutiny of early 20th century British lit..."
ENGL30463,https://undergraduate.catalog.tcu.edu/courses/0016161,British Literature: The Bloomsbury Group,"Prerequisites: ENGL 10803, ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A close scrutiny of early 20th century Britis..."
ENGL40463,https://undergraduate.catalog.tcu.edu/courses/0016711,British Novel since 1832,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. A survey of the novel from the mid-19th century to..."
ENGL40453,https://undergraduate.catalog.tcu.edu/courses/0016701,British Novel to 1832,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. A survey of the novel through the early 19th century."
ENGL40643,https://undergraduate.catalog.tcu.edu/courses/0081561,British Romanticism,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This class will survey British literature fro..."
ENGL20403,https://undergraduate.catalog.tcu.edu/courses/0015601,British Writers,Studies of texts by British writers from the beginnings of English literature to the present. Texts vary by semester.
ENGL55103,https://undergraduate.catalog.tcu.edu/courses/0016652,Chaucer,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, ..."
ENGL40403,https://undergraduate.catalog.tcu.edu/courses/0016651,Chaucer,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, ..."
ENGL55733,https://undergraduate.catalog.tcu.edu/courses/0016972,Children's Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study of the history and criticism of child..."
ENGL40733,https://undergraduate.catalog.tcu.edu/courses/0016971,Children's Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study of the history and criticism of child..."
ENGL50253,https://undergraduate.catalog.tcu.edu/courses/0078231,Classical Rhetoric,"Prerequisite: Junior or senior standing, permission of instructor. This course examines the emergence of rhetoric in Antiquity and traces the impa..."
